State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
ASSAM,NAGAON,BARHAMPUR,URIAGAON,GODHARIA,BORA CHUCK,Iron,1/4/2010
RAJASTHAN,BARMER,BARMER,MAHABAR,MAHABAR PITHAL,JHERDINADI,Salinity,1/4/2011
BIHAR,BEGUSARAI,CHERIA BARIARPUR,MANGHAUL-3,MAGHAUL,MANGHAUL,Iron,1/4/2009
RAJASTHAN,NAGAUR,PARBATSAR,BAREV,BAREV,BAREV,Fluoride,1/4/2012
TRIPURA,KHOWAI,MUNGIAKAMI,PURBA LAXMIPUR,NAGURAI PARA,39 MILES,Iron,1/4/2012
BIHAR,SUPAUL,PIPRA,RATOULI,RATAULI,MUSHARI TOLA,Iron,1/4/2012
JHARKHAND,JAMTARA,NARAYANPUR,BUTBERIA,BUTBERIA,HARIJAN TOLA,Iron,1/4/2011
RAJASTHAN,BARMER,SHEO,SWAMI KA GAON,KANE KA GAON,SUJA KI DHANI,Salinity,1/4/2011
TRIPURA,WEST TRIPURA,BISHALGARH,RAGHUNATHPUR,RAGHUNATH PUR(WEST PARA),NOAPARA,Iron,1/4/2010
TRIPURA,SOUTH TRIPURA,RUPAICHARI,DAKSHIN MANUBANKUL,SANTI PALLI,SANTI PALLI,Iron,1/4/2012
BIHAR,KISHANGANJ,TERHAGACHH,DHABELI,POKHARIA,AMIRPUR BUDI TOLA,Iron,1/4/2012
RAJASTHAN,BARMER,CHOHTAN,ANTIYA,JATON KI BASTI,PALIWALO KI DHANI,Salinity,1/4/2010
ASSAM,JORHAT,JORHAT,UTTAR  NAMONI  CHARAIBAHI,NOWSOLIA GAON,PANACHAYAT  OFFICE   THAKUR BASTI  CHUCK,Iron,1/4/2009
RAJASTHAN,BARMER,SINDHARY,SANPA,SAJAN KI DHANI,SAJAN KI DHANI,Salinity,1/4/2012
CHHATTISGARH,KONDAGAON,BADERAJPUR,BADERAJPUR,BADERAJPU,ONDAKAPARA,Iron,1/4/2012
ORISSA,RAYAGADA,RAMANGUDA,GOGUPADU,PALIKIDONG,POLIKIDONG,Iron,1/4/2009
RAJASTHAN,JAISALMER,SANKRA,CHAYAN - IST,CHHAYAN-I,AKAL KI DHANI,Fluoride,1/4/2012
KARNATAKA,TUMKUR,SIRA,GOPALADEVARAHALLI,GOPALADEVARAHALLI,SANGAINPALYA,Fluoride,1/4/2010
RAJASTHAN,BARMER,CHOHTAN,PANORIYA,PANORIYA,LAXMNA KI DHANI,Salinity,1/4/2010
ASSAM,GOLAGHAT,MORONGI,FALLANGONI,KWANI PATHAR,KORDOI GURI CHUK,Iron,1/4/2012
WEST BENGAL,MALDAH,GAZOLE,SALAIDANGA,HATNAGAR,DOBA,Iron,1/4/2009
KARNATAKA,DAVANGERE,JAGALUR,BIDARAKERE,BIDARAKERE,BIDARAKERE,Fluoride,1/4/2009
ORISSA,ANUGUL,ATHAMALLIK,MADHAPUR,DIGIPADAR,PANA SAHI,Iron,1/4/2009
BIHAR,BHAGALPUR,NATHNAGAR,SHANKER PUR,SHANKARPUR,ATHGAMA,Arsenic,1/4/2009
BIHAR,ARARIA,PALASI,CHAURI,FULSARA,FULSARA,Iron,1/4/2010
RAJASTHAN,JALOR,SAYLA,BABTRA,BABTARA,RAILA NADA,Salinity,1/4/2012
KARNATAKA,BELLARY,BELLARY,KOLAGALLU,KOLAGALLU,KOLAGAL CAMP,Fluoride,1/4/2011
RAJASTHAN,BARMER,BAITU,HEERA KI DHANI,RAMDERIYA,UMONIYO SIYAGO KI DHANI,Salinity,1/4/2010
ASSAM,KARBI ANGLONG,SOMELANGSO,SOMELANGSO-005,CHINTHONG HANSE,CHINTHONG HANSE,Fluoride,1/4/2011
ASSAM,NAGAON,LAO-KHOWA,SAL PARA,SALPARA F.V.,NALKATA,Iron,1/4/2012
ORISSA,PURI,KRUSHNAPRASAD,GAMBHARI,GOLAPUR,HARIJAN SAHI,Salinity,1/4/2011
ORISSA,Nayagarh,BHAPUR,BADA SAHARA,Jamusahi,PATANA JAMMU SAHI,Iron,1/4/2012
RAJASTHAN,BARMER,BARMER,KHADEEN,JAKHARO KA TALA,POLANI JAKHADO KI DHANI,Salinity,1/4/2012
RAJASTHAN,JODHPUR,MANDOR,ROHILLA KALLAN,DAON KI DHANI,KALU RAM KD,Salinity,1/4/2010
ORISSA,BARGARH,BHEDEN,BAKTI,BURDA,BURDA,Iron,1/4/2010
RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,KAKARALA,GOTHRA,GOTHARA,Fluoride,1/4/2011
ASSAM,DARRANG,KHIRABARI,NAMKHOLA,BAH MOLLA,MENAPARA,Iron,1/4/2009
RAJASTHAN,RAJSAMAND,DEOGARH,JEERAN,DOLAJI KA KHERA,DHOLA JI KA KHERA,Iron,1/4/2011
NAGALAND,DIMAPUR,NIULAND,NLD,Pishikhu,Pishikhu,Iron,1/4/2009
KARNATAKA,TUMKUR,TURUVEKERE,HULLEKERE,BALLEKATTE,BALLEKATTE,Nitrate,1/4/2010
CHATTISGARH,BILASPUR,KOTA,BAHERAMUDA,BAHERAMUDA,BAHERA MUDA,Iron,1/4/2010
ORISSA,KORAPUT,KUNDRA,LIMA,LIMMA,NUAGUDA,Iron,1/4/2010
BIHAR,SUPAUL,BASANTPUR,BISHANPUR SHIWRAM,NATHPATTI,HARIJAN TOLA-1,Iron,1/4/2012
RAJASTHAN,BARMER,SHEO,SWAMI KA GAON,AANTRA,KOHRIYA KI DHANI,Salinity,1/4/2009
ORISSA,RAYAGADA,RAYAGADA,PITAMAHAL,JAPANNATHPUR,JAPANNATHPUR,Iron,1/4/2010
ASSAM,JORHAT,KALIAPANI,JANJI   MUKH,BORMATHURI GAON,JOPANG  GAON,Iron,1/4/2010
MADHYA PRADESH,SEONI,CHHAPARA,PAYLI KODIYA,PAYALI,DADAR TOLA,Fluoride,1/4/2011
BIHAR,PURNIA,SRINAGAR,SIGHIA,SINGHIA,2 SAH TOLA,Iron,1/4/2009
RAJASTHAN,BARMER,CHOHTAN,BAORI KALLAN,BAVARI KALA,BAORI KALLAN,Salinity,1/4/2009
